Date,Open,High,Low,Close,Volume
2024-01-02,69940,69970,69240,69280,17384713
2024-01-03,69770,69780,69620,69620,13527340
2024-01-04,69510,69560,69110,69130,16709894
2024-01-05,69790,69790,69240,69240,14467657
2024-01-08,69530,69550,69190,69230,11131403
2024-01-09,67820,68290,67790,68280,19636318
2024-01-10,70010,70020,69600,69640,13154240
2024-01-11,69910,69910,69300,69300,14064775
2024-01-12,69680,69730,69540,69590,12348073
2024-01-15,70560,70590,70190,70220,13386066
2024-01-16,69400,69400,69050,69070,16845355
2024-01-17,71120,71170,70410,70420,9286886
2024-01-18,69800,70210,69770,70190,11935140
2024-01-19,71510,71550,70840,70870,9699094
2024-01-22,70730,71140,70710,71140,13390157
2024-01-23,72190,72230,72140,72220,16879248
2024-01-24,73040,73720,73040,73690,12714467
2024-01-25,73140,73180,72870,72890,16106691
2024-01-26,73780,73830,73330,73370,19168794
2024-01-29,74270,74670,74230,74640,17859553
2024-01-30,74960,75590,74950,75550,18204341
2024-01-31,76630,77020,76600,77010,14931393
2024-02-01,78200,78580,78190,78530,8346586
2024-02-02,80530,80560,79710,79740,8718739
2024-02-05,80880,80920,80200,80240,15578126
2024-02-06,82150,82150,81670,81710,11557838
2024-02-07,82020,82690,82010,82670,18056718
2024-02-08,83690,84340,83680,84310,10885265
2024-02-09,84800,84810,84330,84330,19330463
2024-02-12,84970,85010,84400,84450,15029203
2024-02-13,84840,84890,84080,84100,14612639
2024-02-14,83870,83900,83130,83180,11847273
2024-02-15,81670,82080,81650,82040,11394509
2024-02-16,82140,82140,82060,82100,18474580
2024-02-19,80640,80840,80590,80830,12932726
2024-02-20,81220,81240,80710,80730,9416908
2024-02-21,81740,81790,81730,81740,12942515
2024-02-22,82790,82820,82400,82420,18149493
2024-02-23,83730,83950,83720,83950,17659871
2024-02-26,83800,83810,83150,83150,19463762
2024-02-27,84080,84470,84080,84460,9582716
2024-02-28,83680,83760,83680,83710,12946920
2024-02-29,82330,83040,82320,83030,9028865
2024-03-01,83820,84220,83800,84190,15195768
2024-03-04,83740,83910,83700,83880,19771924
2024-03-05,84560,84590,84560,84560,17460413
2024-03-06,82550,83250,82540,83210,10552411
2024-03-07,84720,84740,84500,84530,8113549
2024-03-08,86620,86660,85950,85980,15278708
2024-03-11,87130,87280,87080,87280,9322591
2024-03-12,87500,87500,86710,86750,8673437
2024-03-13,85710,85950,85680,85910,14776137
2024-03-14,86300,86330,86200,86210,15041680
2024-03-15,86300,86340,85560,85570,8289349
2024-03-18,86310,86340,86100,86150,19785994
2024-03-19,86470,86490,86440,86480,15114988
2024-03-20,86050,86070,86040,86040,18670477
2024-03-21,87280,87310,86930,86970,11154128
2024-03-22,85760,85810,85710,85780,9106426
2024-03-25,85740,86190,85720,86140,12559405
2024-03-26,88370,88370,87780,87810,8905961
2024-03-27,88140,88150,87280,87290,10229013
2024-03-28,89530,89530,88660,88690,13055247
2024-03-29,90470,90510,89660,89680,17474938
2024-04-01,89310,89310,89270,89270,15342501
2024-04-02,89040,89170,89020,89170,18183687
2024-04-03,90270,90680,90220,90630,17245572
2024-04-04,89640,90180,89610,90140,16967634
2024-04-05,90050,90520,90020,90480,10199563
2024-04-08,88900,89520,88880,89480,12489115
2024-04-09,89940,89960,89620,89630,19757001
2024-04-10,90540,90590,90320,90320,12503510
2024-04-11,90610,91270,90590,91220,12365387
2024-04-12,92370,92980,92330,92970,15858129
2024-04-15,92930,92960,92210,92240,9972295
2024-04-16,92050,92170,92040,92160,16072253
2024-04-17,93270,93290,92510,92530,15671518
2024-04-18,94690,94740,94170,94180,17213583
2024-04-19,95530,95570,95260,95300,8252997
2024-04-22,94490,94520,94230,94270,12016896
2024-04-23,93540,93580,92610,92650,9788111
2024-04-24,93940,94220,93920,94180,13872290
2024-04-25,95250,95980,95230,95940,15031728
2024-04-26,95560,95580,94710,94740,12786047
2024-04-29,94810,95700,94780,95680,8524251
2024-04-30,97470,97480,96940,96990,18245659
2024-05-01,97280,97360,97240,97340,12811798
2024-05-02,96800,96800,96570,96610,17922911
2024-05-03,96630,97240,96590,97190,15921542
2024-05-06,95680,96520,95660,96480,8905760
2024-05-07,96930,96940,96890,96910,17027513
2024-05-08,96040,96810,96030,96800,19921303
2024-05-09,98680,98680,98200,98220,10371973
2024-05-10,97240,97270,96590,96600,17771255
2024-05-13,98670,98690,97950,98000,8412850
2024-05-14,98930,98930,98880,98900,19448021
2024-05-15,98060,98760,98040,98750,11905503
2024-05-16,99240,99280,98490,98540,9874783
2024-05-17,99290,99320,98350,98400,19225430
2024-05-20,100820,100860,100060,100080,12339657
2024-05-21,99200,99930,99150,99910,9008081
2024-05-22,101950,101990,101290,101310,10804638
2024-05-23,100360,100390,99820,99860,17573535
2024-05-24,99480,99530,99420,99460,9096077
2024-05-27,100670,100710,100180,100180,16463394
2024-05-28,101400,102080,101380,102030,15171982
2024-05-29,101360,101970,101330,101970,10292582
2024-05-30,102080,102130,101210,101210,12439328
2024-05-31,98930,99730,98890,99720,12114633
2024-06-03,98710,99670,98680,99630,11065698
2024-06-04,101120,101480,101120,101440,15314156
2024-06-05,102560,102560,101590,101590,19286795
2024-06-06,100450,100600,100440,100560,10652849
2024-06-07,100610,100650,99970,99990,11792643
2024-06-10,100110,100150,99950,99960,19973155
2024-06-11,99930,100080,99900,100050,12279608
2024-06-12,100850,101060,100840,101060,9476519
2024-06-13,100520,100540,99830,99860,9449047
2024-06-14,99960,99960,99490,99490,17036085
2024-06-17,99350,99940,99330,99920,9158246
